Date,ticker,Open,High,Low,Close,Volume,return_1d,log_return_1d,volatility_7d,volatility_14d,volatility_30d,volatility_60d,ma_20_ratio,ma_50_ratio,ma_200_ratio,momentum_7d,momentum_14d,momentum_30d,momentum_60d,drawdown,high_low_range,volume_change,vix_close,vix_return_1d,vix_volatility_30d,target_return_1d,target_direction_1d,regime,regime_0_prob,regime_1_prob,regime_2_prob,regime_label
2010-04-27,^GSPC,1209.9200439453125,1211.3800048828125,1181.6199951171875,1183.7099609375,7454540000.0,-0.0233819452571498,-0.0236596401787016,0.0108088785926224,0.0094136525176903,0.0073186198593523,,-0.0095103108934435,0.0207650384772111,,-0.007063024930859,0.0010655924712723,0.0288567251828066,0.0867801068831166,-0.0275779340426424,0.0251857702887581,0.3199109027295777,22.809999465942383,0.3056668782182414,0.0726952538740813,0.006462752419523,1,1,5.500701666779121e-12,0.9999999999790816,1.5536447374897227e-11,Bull
2010-04-28,^GSPC,1184.5899658203125,1195.050048828125,1181.81005859375,1191.3599853515625,6342310000.0,0.006462752419523,0.0064419583781808,0.010996292392827,0.009531294838385,0.0072802633364534,,-0.0038629520831869,0.0256551451148836,,-0.0051439926508274,0.0041468967569322,0.0275128296696587,0.0797955655189741,-0.0212934109830787,0.0112031456646506,-0.1492016945378252,21.07999992370605,-0.0758439098089149,0.0742298001168659,0.0129432280208421,1,0,0.9833276962683423,0.016622601526239063,4.9702205511301586e-05,Bear
2010-04-29,^GSPC,1193.300048828125,1209.3599853515625,1193.300048828125,1206.780029296875,6059410000.0,0.0129432280208421,0.0128601802812895,0.0117712635789662,0.0099877352771161,0.0075561131923604,,0.0074571527314515,0.0370150675208185,,-0.0003230817815548,0.0103904436903321,0.0347879624752658,0.0997922108089093,-0.008625788435932,0.0134584227489213,-0.0446051990520803,18.440000534057617,-0.1252371631500602,0.0776048129937981,-0.0166476801097963,0,0,0.9994667815628462,0.000531427165367514,1.7912719215182541e-06,Bear
2010-04-30,^GSPC,1206.77001953125,1207.989990234375,1186.3199462890625,1186.68994140625,6048260000.0,-0.0166476801097963,-0.0167878101398662,0.013372968537488,0.0110088681704998,0.0082253743837372,,-0.0096697629041471,0.0183520725097015,,-0.0159626523171232,-0.0081823676303087,0.017892819826105,0.1162438108544532,-0.0251298691791521,0.0182666101274775,-0.0018401131463294,22.049999237060547,0.1957699890699824,0.0848545579084618,0.0131205867818549,1,0,0.9998941479568738,6.506274653520573e-05,4.0789296465801634e-05,Bear
2010-05-03,^GSPC,1188.5799560546875,1205.1300048828125,1188.5799560546875,1202.260009765625,4938050000.0,0.0131205867818549,0.0130352574532621,0.014556700578385,0.0116002464689306,0.0084578959529477,,0.00270388809845,0.030067716420921,,-0.0053033780491191,0.0041426215110862,0.036520376291018,0.1276227275037931,-0.012339001026679,0.0139242200272839,-0.1835585771775684,20.190000534057617,-0.0843536855945434,0.0866577278533077,-0.0238384658450667,0,0,0.9986715999664323,5.3059165840998454e-05,0.0012753408677762949,Bear
2010-05-04,^GSPC,1197.5,1197.5,1168.1199951171875,1173.5999755859375,6594720000.0,-0.0238384658450667,-0.0241271999574182,0.0163839290675941,0.0128030197969515,0.0095776164713328,,-0.0205520706198618,0.0043836371114709,,-0.035883324017209,-0.0306034345855291,0.0066819778528794,0.11058537240144,-0.035883324017209,0.0251515298133948,0.3354907301465153,23.84000015258789,0.1807825419505686,0.092074204833694,-0.0065865547286593,0,0,0.8852681640560048,0.0004841522389827989,0.11424768370495794,Bear
2010-05-05,^GSPC,1169.239990234375,1175.949951171875,1158.1500244140625,1165.8699951171875,6795940000.0,-0.0065865547286593,-0.00660834180078,0.0163882798487812,0.0128237892771444,0.0095649859461997,,-0.0263296199782319,-0.0034474632303603,,-0.0381007811975973,-0.0377991096313611,-0.0070688644042017,0.0890688392989498,-0.0422335312683828,0.0153692754674144,0.0305122886187738,24.90999984741211,0.0448825372473022,0.091801849573958,-0.0323534964113503,0,0,0.7786876231034856,0.00014109536965765246,0.22117128152704624,Bear
2010-05-06,^GSPC,1164.3800048828125,1167.5799560546875,1065.7900390625,1128.1500244140625,10617810000.0,-0.0323534964113503,-0.0328884406439636,0.0182700493419331,0.0147257352179515,0.0111963560628853,,-0.0555324021100558,-0.0360669532024536,,-0.046937120035244,-0.0536686269171114,-0.0338865029988619,0.0561916800921953,-0.0732206252774029,0.0955065381186381,0.5623754771231058,32.79999923706055,0.3167402423917769,0.1064570743565926,-0.0153082649980171,0,2,6.216969540716799e-07,2.2048198026775845e-06,0.9999971734831816,Crisis
2010-05-07,^GSPC,1127.0400390625,1135.1300048828125,1094.1500244140625,1110.8800048828125,9472910000.0,-0.0153082649980171,-0.0154266461809074,0.0174923967605604,0.0148139892995333,0.0114937475752953,,-0.0667289494890125,-0.0509518679545422,,-0.0675530330532302,-0.0723495333984908,-0.0470520416433674,0.0300518651980241,-0.0874080095403531,0.0374537125205436,-0.1078282621369189,40.95000076293945,0.2484756620564265,0.1139147766078236,0.043974124451984,1,2,1.5253598204353798e-16,1.0298018963573929e-10,0.9999999998972271,Crisis
2010-05-10,^GSPC,1122.27001953125,1163.8499755859375,1122.27001953125,1159.72998046875,6893700000.0,0.043974124451984,0.0430347041456154,0.0260556217809993,0.0196242819162174,0.0141849581759711,,-0.0241827854833771,-0.0101525784256999,,-0.0389880903610398,-0.0392985758009015,-0.0058803740410529,0.0783070077808743,-0.0472775757779966,0.0370498679738897,-0.27227219513328,28.84000015258789,-0.2957265051216152,0.1283052630061166,-0.0033972920184899,0,2,4.925978210013362e-19,3.2406699320232756e-10,0.9999999996757651,Crisis
