Date,ticker,Close,return_1d,volatility_30d,momentum_30d,ma_50_ratio,ma_200_ratio,drawdown,vix_close,target_return_1d,target_direction_1d,regime,regime_label,regime_0_prob,regime_1_prob,regime_2_prob
2011-05-06,^GSPC,1340.199951171875,0.0038199203649145,0.005545654943583,0.0233189653766263,0.0149823534121844,,-0.0171676904915388,18.39999961853028,0.0045441636416265,1,0,Bear,0.9999995572789956,3.2710020849605804e-07,1.156210225602656e-07
2011-05-09,^GSPC,1346.2900390625,0.0045441636416265,0.0055717884608199,0.0247297830924539,0.0191868984055427,,-0.0127015396448546,17.15999984741211,0.0080740366501983,1,0,Bear,0.9999996538682043,2.954723598633225e-07,5.065954740255622e-08
2011-05-10,^GSPC,1357.1600341796875,0.0080740366501983,0.0056814258972444,0.0358498346606321,0.0269503211263255,,-0.0047300556912628,15.90999984741211,-0.011111495877577,0,0,Bear,0.9999996276606691,3.3540965523275256e-07,3.6929742590130367e-08
2011-05-11,^GSPC,1342.0799560546875,-0.011111495877577,0.0059941205103495,0.0171588065041505,0.0149902228276674,,-0.0157889935745257,16.950000762939453,0.0048954373617866,1,0,Bear,0.9999995022386758,4.3226627372057625e-07,6.549492527737838e-08
2011-05-12,^GSPC,1348.6500244140625,0.0048954373617866,0.0059399883553772,0.0153509211287896,0.0193390789776699,,-0.0109708502417888,16.030000686645508,-0.0080673300603242,0,0,Bear,0.9999996525080554,3.1771250437764824e-07,2.9779419922767483e-08
2011-05-13,^GSPC,1337.77001953125,-0.0080673300603242,0.0061313434264092,0.009005727636516,0.0110118097508014,,-0.0189496748321702,17.06999969482422,-0.0062043914177665,0,0,Bear,0.9999996665147238,2.8518141427598044e-07,4.830388245041508e-08
2011-05-16,^GSPC,1329.469970703125,-0.0062043914177665,0.006178370716727,-0.0022065756044629,0.0046127616695528,,-0.0250364950500385,18.239999771118164,-0.0003685605881837,0,0,Bear,0.9999995631293177,3.3464858410864213e-07,1.0222227081496155e-07
2011-05-17,^GSPC,1328.97998046875,-0.0003685605881837,0.0061781500269684,-0.0029185251845177,0.0039564945410892,,-0.0253958281728805,17.549999237060547,0.0088037994658585,1,0,Bear,0.9999997289155912,2.0200490281613004e-07,6.907950020037411e-08
2011-05-18,^GSPC,1340.6800537109375,0.0088037994658585,0.0063872708191294,0.0060407230803969,0.0125066111365095,,-0.0168156084855254,16.229999542236328,0.0021779408643529,1,0,Bear,0.9999996779329713,2.5947650363443245e-07,6.259040904491986e-08
2011-05-19,^GSPC,1343.5999755859375,0.0021779408643529,0.0063872101043296,0.0060349643497736,0.0143505191103687,,-0.014674291022052,15.520000457763672,-0.0076882675218735,0,0,Bear,0.9999997904970079,1.8890106129956537e-07,2.0601797144468523e-08
2011-05-20,^GSPC,1333.27001953125,-0.0076882675218735,0.0065425548178216,-0.0001799688285932,0.0059723016528714,,-0.0222497386688542,17.43000030517578,-0.0119255846011242,0,0,Bear,0.9999996948727595,2.402703720065408e-07,6.485681295622799e-08
2011-05-23,^GSPC,1317.3699951171875,-0.0119255846011242,0.0068623685739064,-0.0081315256863071,-0.0062208088565403,,-0.0339099821291302,18.270000457763672,-0.0008273801774386,0,0,Bear,0.9999994794985914,2.621497711609565e-07,2.583517952870036e-07
2011-05-24,^GSPC,1316.280029296875,-0.0008273801774386,0.0068466053636605,-0.0061760505276693,-0.0073409261764272,,-0.034709305859538,17.81999969482422,0.0031831687125787,1,0,Bear,0.9999996982192443,1.2843531567693606e-07,1.7334565380700101e-07
2011-05-25,^GSPC,1320.469970703125,0.0031831687125787,0.0067186944612886,0.0048014978079715,-0.0047605488082188,,-0.0316366227234067,17.06999969482422,0.0039531157988739,1,0,Bear,0.9999988461429274,9.602967566355416e-07,1.9356020277395397e-07
2011-05-26,^GSPC,1325.68994140625,0.0039531157988739,0.0067538946777578,0.0085817263511702,-0.0018615633873354,,-0.0278085701576437,16.09000015258789,0.0040809196862041,1,0,Bear,0.9991026962725725,0.0008740328088020534,2.3270918451205083e-05
2011-11-14,^GSPC,1251.780029296875,-0.0095501416483129,0.018085301414009,0.1387790103423782,0.0411260729558786,,-0.0820102208520098,31.1299991607666,0.0048171636835123,1,1,Bull,1.054448165091194e-37,0.9999999999977263,2.497073829320204e-12
2011-11-15,^GSPC,1257.81005859375,0.0048171636835123,0.0177641266464975,0.1190979253856518,0.0445329330093626,,-0.0775881138260625,31.21999931335449,-0.0166162007302033,0,1,Bull,5.673909806255237e-35,0.9999999998376552,1.6213438085083127e-10
2011-11-16,^GSPC,1236.9100341796875,-0.0166162007302033,0.0179446826530732,0.0811866843564386,0.0265239463607316,,-0.0929150948826541,33.5099983215332,-0.016799952076269,0,1,Bull,5.350646855560388e-33,0.999999928166292,7.183373180103269e-08
2011-11-17,^GSPC,1216.1300048828125,-0.016799952076269,0.018040505465232,0.043915324400001,0.0087722284425926,,-0.1081540778177325,34.5099983215332,-0.0003946785843806,0,1,Bull,2.1127635147584856e-33,0.9999318967947227,6.810320505507224e-05
2011-11-18,^GSPC,1215.6500244140625,-0.0003946785843806,0.0179511963669537,0.0520918642890286,0.0073476499117932,,-0.1085060703037851,32.0,-0.0186484954469025,0,1,Bull,2.305480356043146e-35,0.9977332899393656,0.002266710060531268
2011-11-21,^GSPC,1192.97998046875,-0.0186484954469025,0.0172514915958435,-0.0015985020849382,-0.0119407466459982,,-0.1251310907926661,32.90999984741211,-0.0041408418306474,0,2,Crisis,5.073043888402583e-35,0.05632677651300039,0.9436732234868074
2011-11-22,^GSPC,1188.0400390625,-0.0041408418306474,0.0172684446070612,-0.0062733156188404,-0.0162793380389331,,-0.1287537845682448,31.96999931335449,-0.0220952149228188,0,2,Crisis,2.5337465507650545e-39,0.0006756592794375961,0.9993243407203722
2011-11-23,^GSPC,1161.7900390625,-0.0220952149228188,0.017618545221687,-0.037655797007662,-0.0375862857261197,,-0.1480041569489019,33.97999954223633,-0.0026855068577668,0,2,Crisis,9.96581317639248e-46,2.958436095632667e-07,0.9999997041564239
2011-11-25,^GSPC,1158.6700439453125,-0.0026855068577668,0.0176175829150855,-0.0373776556143914,-0.0393680758447499,,-0.1502921976282044,34.470001220703125,0.0292404253133617,1,2,Crisis,1.5041367728550033e-47,1.866823106275036e-08,0.999999981331712
2011-11-28,^GSPC,1192.550048828125,0.0292404253133617,0.018171378950074,-0.0261558316941226,-0.0108940232332022,,-0.1254463800947711,32.130001068115234,0.0022136534904502,1,2,Crisis,1.2799310767855869e-48,2.3446194228908983e-10,0.9999999997653504
2011-11-29,^GSPC,1195.18994140625,0.0022136534904502,0.0178317537502994,-0.004721652827538,-0.0085581144606929,,-0.123510421421482,30.63999938964844,0.0433153072475978,1,2,Crisis,4.092327407655786e-42,3.4591669312187482e-06,0.9999965408329247
2011-11-30,^GSPC,1246.9599609375,0.0433153072475978,0.0191753818327627,0.0176108276360777,0.0336170532020494,,-0.0855450060260362,27.799999237060547,-0.0019086457924624,0,2,Crisis,1.80934083564876e-45,1.2298673345735762e-08,0.9999999877013579
2011-12-01,^GSPC,1244.5799560546875,-0.0019086457924624,0.0190160066784712,0.0286804898269528,0.0303150205562601,,-0.0872903767026808,27.40999984741211,-0.0002409863314554,0,2,Crisis,5.48712955562358e-35,4.433959318999133e-05,0.9999556604069326
