model,routing,folds,avg_accuracy,avg_precision,avg_recall,avg_f1,avg_roc_auc,avg_strategy_sharpe,avg_strategy_max_drawdown,avg_daily_strategy_return,avg_trade_rate
HistGradientBoosting,Soft MoE,3,0.5139291505914275,0.5583691670648192,0.6484447755634196,0.598747269056923,0.4956919576732551,1.9842900880763104,-0.08908386701218762,0.0010272514770707888,0.6516182113028363
HistGradientBoosting,Baseline,3,0.5127251269531711,0.5497442484875047,0.7087208460089816,0.6162795389174814,0.47297207900656174,1.9307766432171476,-0.08767063206302095,0.0010488560810223014,0.7221726127386554
HistGradientBoosting,Hard MoE,3,0.5049283415299388,0.5495656933438043,0.6435835351089588,0.5916410001655903,0.49285320876495625,1.5387412217279623,-0.08792014338365717,0.0007980189057279503,0.6545294194542192
Random Forest,Hard MoE,3,0.5233128506521955,0.5531233357147497,0.7876140808344197,0.6494535304086847,0.49072898495750633,1.4218441177416252,-0.10406137344668313,0.0007979614226362309,0.8002620617289185
Random Forest,Baseline,3,0.5088013406631714,0.5378862910085753,0.8377517021584818,0.652062398803377,0.48564244055185024,1.240434793420992,-0.12420425006122175,0.0007330297641955511,0.8701963446201533
Random Forest,Soft MoE,3,0.5130056339885907,0.5533438384157808,0.7058587363672109,0.6198013674415914,0.486839590696984,1.045787236167883,-0.11205765566689674,0.00044506869294119305,0.7177244674561788
