model,folds,avg_accuracy,avg_precision,avg_recall,avg_f1,avg_roc_auc,avg_strategy_sharpe,avg_strategy_max_drawdown,avg_daily_strategy_return,avg_trade_rate,avg_buy_hold_sharpe
Hard MoE,2,0.5640000000000001,0.6051989801574105,0.7717117117117117,0.6783525971313187,0.5285446740858506,1.9061604199036448,-0.08482190635735659,0.0012419164614890091,0.76,1.8290574371075374
Soft MoE,2,0.5640000000000001,0.6051989801574105,0.7717117117117117,0.6783525971313187,0.528345945945946,1.9061604199036448,-0.08482190635735659,0.0012419164614890091,0.76,1.8290574371075374
Baseline,2,0.532,0.5839618456078084,0.7452252252252252,0.6545745717866592,0.4975280339162692,1.7776098034812127,-0.08141622244315805,0.001103168776999198,0.76,1.8290574371075374
