model,threshold,accuracy,precision,recall,f1,strategy_sharpe,strategy_max_drawdown,avg_daily_strategy_return,trade_rate,buy_hold_sharpe,buy_hold_max_drawdown,roc_auc
Hard-Routed Direction MoE,0.5,0.512,0.5853658536585366,0.64,0.6114649681528662,2.6234216232302496,-0.05934115879469459,0.0015433584308653316,0.656,2.2508146088340406,-0.09287537238490251,0.4946666666666667
Soft-Gated Direction MoE,0.5,0.512,0.5853658536585366,0.64,0.6114649681528662,2.6234216232302496,-0.05934115879469459,0.0015433584308653316,0.656,2.2508146088340406,-0.09287537238490251,0.4946666666666667
Baseline Direction Classifier,0.5,0.48,0.5694444444444444,0.5466666666666666,0.5578231292517006,2.0722006553880767,-0.04462343116495904,0.0009009224149537461,0.576,2.2508146088340406,-0.09287537238490251,0.4509333333333333
