ticker,rows,accuracy,precision,recall,f1,strategy_sharpe,max_drawdown,avg_daily_return,trade_rate,model,routing
^GSPC,252.0,0.5396825396825397,0.5727699530516432,0.8299319727891157,0.6777777777777778,1.599297561170081,-0.08867116405528086,0.0009326143528245089,0.8452380952380952,Random Forest,Baseline
^IXIC,252.0,0.4801587301587302,0.5336538461538461,0.7655172413793103,0.6288951841359773,0.6772381730430294,-0.15734661059227106,0.0005051337553354102,0.8253968253968254,Random Forest,Baseline
^NSEI,123.0,0.4878048780487805,0.49166666666666664,0.9672131147540983,0.6519337016574586,1.0308681491826877,-0.07229384876947054,0.0005887354109595937,0.975609756097561,Random Forest,Baseline
^GSPC,252.0,0.5277777777777778,0.5707070707070707,0.7687074829931972,0.6550724637681159,1.056018322007576,-0.12048276110918665,0.0006571837992381119,0.7857142857142857,Random Forest,Hard MoE
^IXIC,252.0,0.5238095238095238,0.5641025641025641,0.7586206896551724,0.6470588235294118,1.254590855199811,-0.13115530056944025,0.0009295490724371178,0.7738095238095238,Random Forest,Hard MoE
^NSEI,123.0,0.5040650406504065,0.5,0.8852459016393442,0.6390532544378699,1.3755111124923025,-0.053473297561236754,0.0007232987566188674,0.8780487804878049,Random Forest,Hard MoE
^GSPC,252.0,0.5555555555555556,0.6086956521739131,0.6666666666666666,0.6363636363636364,1.4679420131498517,-0.0788071641194894,0.0006109015683366902,0.6388888888888888,Random Forest,Soft MoE
^IXIC,252.0,0.46825396825396826,0.5303867403314917,0.6620689655172414,0.588957055214724,0.15087910528671236,-0.1578451835801321,0.00010702055326001177,0.7182539682539683,Random Forest,Soft MoE
^NSEI,123.0,0.5040650406504065,0.5,0.8852459016393442,0.6390532544378699,1.3755111124923025,-0.053473297561236754,0.0007232987566188674,0.8780487804878049,Random Forest,Soft MoE
^GSPC,252.0,0.5317460317460317,0.5900621118012422,0.6462585034013606,0.6168831168831169,2.488707380240915,-0.06108582050809752,0.0012011006315062194,0.6388888888888888,HistGradientBoosting,Baseline
^IXIC,252.0,0.5079365079365079,0.56,0.6758620689655173,0.6125,1.6043052403814375,-0.10933185583337746,0.0010531229570345496,0.6944444444444444,HistGradientBoosting,Baseline
^NSEI,123.0,0.4715447154471545,0.4824561403508772,0.9016393442622951,0.6285714285714286,1.0690721775540395,-0.07229384876946998,0.0005911074404647675,0.926829268292683,HistGradientBoosting,Baseline
^GSPC,252.0,0.5079365079365079,0.5680473372781065,0.6530612244897959,0.6075949367088608,1.147057039322475,-0.08733106224700116,0.0006742162353067679,0.6706349206349206,HistGradientBoosting,Hard MoE
^IXIC,252.0,0.49603174603174605,0.5671641791044776,0.5241379310344828,0.5448028673835126,1.9038007570219273,-0.08077630308236061,0.0009503695744903599,0.5317460317460317,HistGradientBoosting,Hard MoE
^NSEI,123.0,0.5040650406504065,0.5,0.8688524590163934,0.6347305389221557,1.1788252942895543,-0.0704770151275369,0.0006450402020973823,0.8617886178861789,HistGradientBoosting,Hard MoE
^GSPC,252.0,0.5,0.5686274509803921,0.5918367346938775,0.58,1.5950134941420337,-0.07649438091242311,0.0009076443632528639,0.6071428571428571,HistGradientBoosting,Soft MoE
^IXIC,252.0,0.5277777777777778,0.5878378378378378,0.6,0.5938566552901023,1.9454773300011337,-0.13115530056944014,0.0013322332249506097,0.5873015873015873,HistGradientBoosting,Soft MoE
^NSEI,123.0,0.5040650406504065,0.5,0.8688524590163934,0.6347305389221557,1.1788252942895543,-0.0704770151275369,0.0006450402020973823,0.8617886178861789,HistGradientBoosting,Soft MoE
