ticker,rows,accuracy,precision,recall,f1,strategy_sharpe,max_drawdown,avg_daily_return,trade_rate,model_family,routing
^GSPC,252.0,0.5396825396825397,0.5756097560975609,0.8027210884353742,0.6704545454545454,2.023481170884655,-0.07073700344454636,0.0010154448347103895,0.8134920634920635,Random Forest,Baseline
^IXIC,252.0,0.5079365079365079,0.5507246376811594,0.7862068965517242,0.6477272727272727,1.6067871049695692,-0.11685502156931193,0.0011215421627881615,0.8214285714285714,Random Forest,Baseline
^NSEI,123.0,0.5365853658536586,0.5254237288135594,0.9841269841269841,0.6850828729281768,1.8731214898286965,-0.06111701915310874,0.0010431494450618593,0.959349593495935,Random Forest,Baseline
^GSPC,252.0,0.5277777777777778,0.5721649484536082,0.7551020408163265,0.6510263929618768,0.9987029266703722,-0.12939100001311843,0.0006178851873832977,0.7698412698412699,Random Forest,Hard MoE
^IXIC,252.0,0.5119047619047619,0.5572916666666666,0.7379310344827587,0.6350148367952523,1.9201161305027528,-0.10577430131825916,0.0013166343747614178,0.7619047619047619,Random Forest,Hard MoE
^NSEI,123.0,0.5365853658536586,0.5272727272727272,0.9206349206349206,0.6705202312138728,2.258951684382534,-0.061700560848662156,0.0012602872375374373,0.8943089430894309,Random Forest,Hard MoE
^GSPC,252.0,0.5634920634920635,0.5958549222797928,0.782312925170068,0.6764705882352942,2.453180218734462,-0.07563290010031942,0.0012892386425387109,0.7658730158730159,Random Forest,Soft MoE
^IXIC,252.0,0.5119047619047619,0.5572916666666666,0.7379310344827587,0.6350148367952523,1.9201161305027528,-0.10577430131825916,0.0013166343747614178,0.7619047619047619,Random Forest,Soft MoE
^NSEI,123.0,0.5365853658536586,0.5272727272727272,0.9206349206349206,0.6705202312138728,2.258951684382534,-0.061700560848662156,0.0012602872375374373,0.8943089430894309,Random Forest,Soft MoE
^GSPC,252.0,0.5317460317460317,0.6013986013986014,0.5850340136054422,0.593103448275862,2.0546209014167442,-0.08173401034438066,0.0008508869494747425,0.5674603174603174,HistGradientBoosting,Baseline
^IXIC,252.0,0.49206349206349204,0.5515151515151515,0.6275862068965518,0.5870967741935483,1.4930571851306789,-0.09895581651048169,0.000864744416486735,0.6547619047619048,HistGradientBoosting,Baseline
