model,rmse,mae,direction_accuracy,strategy_sharpe,strategy_max_drawdown,buy_hold_sharpe,buy_hold_max_drawdown
Baseline Random Forest,0.010910544921031143,0.007828183466607049,0.536,2.161004345102019,-0.0928753723849024,2.2508146088340406,-0.09287537238490251
Hard-Routed MoE,0.011232276163357497,0.008100235290433588,0.512,1.9422517035085378,-0.09287537238490251,2.2508146088340406,-0.09287537238490251
Soft-Gated MoE,0.011232263153453496,0.008100190819436639,0.512,1.9422517035085378,-0.09287537238490251,2.2508146088340406,-0.09287537238490251
