Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,^GSPC,^IXIC,^NSEI,^VIX,^GSPC,^IXIC,^NSEI,^VIX,^GSPC,^IXIC,^NSEI,^VIX,^GSPC,^IXIC,^NSEI,^VIX,^GSPC,^IXIC,^NSEI,^VIX
Date,,,,,,,,,,,,,,,,,,,,
2010-01-04,1132.989990234375,2308.419921875,5232.2001953125,20.040000915527344,1133.8699951171875,2311.14990234375,5238.4501953125,21.68000030517578,1116.56005859375,2294.409912109375,5167.10009765625,20.030000686645508,1116.56005859375,2294.409912109375,5200.89990234375,21.68000030517578,3991400000.0,1931380000.0,0.0,0.0
2010-01-05,1136.52001953125,2308.7099609375,5277.89990234375,19.350000381469727,1136.6300048828125,2313.72998046875,5288.35009765625,20.1299991607666,1129.6600341796875,2295.6201171875,5242.39990234375,19.34000015258789,1132.6600341796875,2307.27001953125,5277.14990234375,20.049999237060547,2491020000.0,2367860000.0,0.0,0.0
2010-01-06,1137.1400146484375,2301.090087890625,5281.7998046875,19.15999984741211,1139.18994140625,2314.070068359375,5310.85009765625,19.68000030517578,1133.949951171875,2295.679931640625,5260.0498046875,18.770000457763672,1135.7099609375,2307.7099609375,5278.14990234375,19.59000015258789,4972660000.0,2253340000.0,0.0,0.0
2010-01-07,1141.68994140625,2300.050048828125,5263.10009765625,19.059999465942383,1142.4599609375,2301.300048828125,5302.5498046875,19.709999084472656,1131.3199462890625,2285.219970703125,5244.75,18.700000762939453,1136.27001953125,2298.090087890625,5281.7998046875,19.68000030517578,5270680000.0,2270050000.0,0.0,0.0
2010-01-08,1144.97998046875,2317.169921875,5244.75,18.1299991607666,1145.3900146484375,2317.60009765625,5276.75,19.270000457763672,1136.219970703125,2290.610107421875,5234.7001953125,18.110000610351562,1140.52001953125,2292.239990234375,5264.25,19.270000457763672,4389590000.0,2145390000.0,0.0,0.0
2010-01-11,1146.97998046875,2312.409912109375,5249.39990234375,17.549999237060547,1149.739990234375,2326.280029296875,5287.2001953125,17.739999771118164,1142.02001953125,2302.2099609375,5227.7998046875,16.860000610351562,1145.9599609375,2324.780029296875,5263.7998046875,16.93000030517578,4255780000.0,2077890000.0,0.0,0.0
2010-01-12,1136.219970703125,2282.31005859375,5210.39990234375,18.25,1143.81005859375,2298.85009765625,5300.5,19.459999084472656,1131.77001953125,2272.699951171875,5200.9501953125,17.950000762939453,1143.81005859375,2297.280029296875,5251.10009765625,17.950000762939453,4716160000.0,2368320000.0,0.0,0.0
2010-01-13,1145.6800537109375,2307.89990234375,5233.9501953125,17.850000381469727,1148.4000244140625,2313.030029296875,5239.2001953125,18.719999313354492,1133.1800537109375,2274.1201171875,5169.5498046875,17.559999465942383,1137.31005859375,2289.4599609375,5212.60009765625,17.940000534057617,4170360000.0,2318350000.0,0.0,0.0
2010-01-14,1148.4599609375,2316.739990234375,5259.89990234375,17.6299991607666,1150.4100341796875,2322.56005859375,5272.85009765625,18.270000457763672,1143.800048828125,2303.2900390625,5232.5,17.3799991607666,1145.6800537109375,2303.31005859375,5234.5,18.15999984741211,3915200000.0,2254170000.0,0.0,0.0
2010-01-15,1136.030029296875,2287.989990234375,5252.2001953125,17.90999984741211,1147.77001953125,2322.5400390625,5279.85009765625,19.020000457763672,1131.3900146484375,2279.199951171875,5242.4501953125,17.6299991607666,1147.719970703125,2316.97998046875,5259.89990234375,17.6299991607666,4758730000.0,2637770000.0,0.0,0.0
2010-01-18,,,5274.85009765625,,,,5292.5,,,,5228.9501953125,,,,5253.64990234375,,,,0.0,
2010-01-19,1150.22998046875,2320.39990234375,5225.64990234375,17.579999923706055,1150.449951171875,2320.39990234375,5287.7998046875,18.850000381469727,1135.77001953125,2290.679931640625,5218.64990234375,17.329999923706055,1136.030029296875,2291.02001953125,5274.2001953125,18.6299991607666,4724830000.0,2045290000.0,0.0,0.0
